year,coc_number,coc_name,coc_category,pit_overall_homeless,pit_sheltered_es_homeless,pit_sheltered_th_homeless,pit_sheltered_sh_homeless,pit_sheltered_total_homeless,pit_unsheltered_homeless,pit_homeless_individuals,pit_sheltered_es_homeless_individuals,pit_sheltered_th_homeless_individuals,pit_sheltered_sh_homeless_individuals,pit_sheltered_total_homeless_individuals,pit_unsheltered_homeless_individuals,pit_homeless_people_in_families,pit_sheltered_es_homeless_people_in_families,pit_sheltered_th_homeless_people_in_families,pit_sheltered_total_homeless_people_in_families,pit_unsheltered_homeless_people_in_families,pit_homeless_family_households,pit_sheltered_es_homeless_family_households,pit_sheltered_th_homeless_family_households,pit_sheltered_total_homeless_family_households,pit_unsheltered_homeless_family_households,pit_chronically_homeless,pit_sheltered_es_chronically_homeless,pit_sheltered_sh_chronically_homeless,pit_sheltered_total_chronically_homeless,pit_unsheltered_chronically_homeless,pit_chronically_homeless_individuals,pit_sheltered_es_chronically_homeless_individuals,pit_sheltered_sh_chronically_homeless_individuals,pit_sheltered_total_chronically_homeless_individuals,pit_unsheltered_chronically_homeless_individuals,pit_chronically_homeless_people_in_families,pit_sheltered_es_chronically_homeless_people_in_families,pit_sheltered_total_chronically_homeless_people_in_families,pit_unsheltered_chronically_homeless_people_in_families,pit_homeless_veterans,pit_sheltered_es_homeless_veterans,pit_sheltered_th_homeless_veterans,pit_sheltered_sh_homeless_veterans,pit_sheltered_total_homeless_veterans,pit_unsheltered_homeless_veterans,pit_homeless_unaccompanied_youth_under_25,pit_sheltered_es_homeless_unaccompanied_youth_under_25,pit_sheltered_th_homeless_unaccompanied_youth_under_25,pit_sheltered_sh_homeless_unaccompanied_youth_under_25,pit_sheltered_total_homeless_unaccompanied_youth_under_25,pit_unsheltered_homeless_unaccompanied_youth_under_25,pit_homeless_unaccompanied_youth_under_18,pit_sheltered_es_homeless_unaccompanied_youth_under_18,pit_sheltered_th_homeless_unaccompanied_youth_under_18,pit_sheltered_sh_homeless_unaccompanied_youth_under_18,pit_sheltered_total_homeless_unaccompanied_youth_under_18,pit_unsheltered_homeless_unaccompanied_youth_under_18,pit_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_es_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_th_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_sh_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_total_homeless_unaccompanied_youth_age_18_to_24,pit_unsheltered_homeless_unaccompanied_youth_age_18_to_24,pit_homeless_parenting_youth_under_25,pit_sheltered_es_homeless_parenting_youth_under_25,pit_sheltered_th_homeless_parenting_youth_under_25,pit_sheltered_total_homeless_parenting_youth_under_25,pit_unsheltered_homeless_parenting_youth_under_25,pit_homeless_parenting_youth_under_18,pit_sheltered_es_homeless_parenting_youth_under_18,pit_sheltered_th_homeless_parenting_youth_under_18,pit_sheltered_total_homeless_parenting_youth_under_18,pit_unsheltered_homeless_parenting_youth_under_18,pit_homeless_parenting_youth_age_18_to_24,pit_sheltered_es_homeless_parenting_youth_age_18_to_24,pit_sheltered_th_homeless_parenting_youth_age_18_to_24,pit_sheltered_total_homeless_parenting_youth_age_18_to_24,pit_unsheltered_homeless_parenting_youth_age_18_to_24,pit_homeless_children_of_parenting_youth,pit_sheltered_es_homeless_children_of_parenting_youth,pit_sheltered_th_homeless_children_of_parenting_youth,pit_sheltered_total_homeless_children_of_parenting_youth,pit_unsheltered_homeless_children_of_parenting_youth
2015,GA-501,Georgia Balance of State CoC,Rural CoCs,5797,1248,1031,0,2279,3518,3383,557,94,0,651,2732,2414,691,937,1628,786,691,261,237,498,193,931,98,0,98,833,844,87,0,87,757,87,11,11,76,553,113,20,0,133,420,195,25,8,0,33,162,4,0,0,0,0,4,191,25,8,0,33,158,22,10,6,16,6,0,0,0,0,0,22,10,6,16,6,38,11,8,19,19
2015,GA-502,Fulton County CoC,Suburban CoCs,473,137,283,0,420,53,272,60,166,0,226,46,201,77,117,194,7,73,30,41,71,2,47,28,0,28,19,22,9,0,9,13,25,19,19,6,57,6,51,0,57,0,47,15,31,0,46,1,8,0,8,0,8,0,39,15,23,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,GA-503,Athens-Clarke County CoC,Other Urban CoCs,226,127,8,0,135,91,188,92,5,0,97,91,38,35,3,38,0,11,10,1,11,0,32,5,0,5,27,32,5,0,5,27,0,0,0,0,20,9,2,0,11,9,10,7,0,0,7,3,0,0,0,0,0,0,10,7,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,GA-504,Augusta-Richmond County CoC,Other Urban CoCs,407,145,133,0,278,129,265,121,75,0,196,69,142,24,58,82,60,42,8,18,26,16,34,14,0,14,20,34,14,0,14,20,0,0,0,0,71,18,18,0,36,35,14,7,3,0,10,4,0,0,0,0,0,0,14,7,3,0,10,4,4,0,4,4,0,0,0,0,0,0,4,0,4,4,0,24,0,24,24,0
2015,GA-505,Columbus-Muscogee/Russell County CoC,Other Urban CoCs,371,170,36,0,206,165,323,122,36,0,158,165,48,48,0,48,0,18,18,0,18,0,59,5,0,5,54,59,5,0,5,54,0,0,0,0,37,11,0,0,11,26,17,1,4,0,5,12,0,0,0,0,0,0,17,1,4,0,5,12,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,3,3,0,3,0
2015,GA-506,Marietta/Cobb County CoC,Suburban CoCs,415,110,214,0,324,91,208,59,80,0,139,69,207,51,134,185,22,68,15,46,61,7,49,8,0,8,41,42,8,0,8,34,7,0,0,7,22,6,4,0,10,12,8,5,2,0,7,1,0,0,0,0,0,0,8,5,2,0,7,1,7,3,4,7,0,0,0,0,0,0,7,3,4,7,0,12,7,5,12,0
2015,GA-507,Savannah/Chatham County CoC,Other Urban CoCs,1100,268,310,0,578,522,953,176,255,0,431,522,147,92,55,147,0,55,38,17,55,0,121,46,0,46,75,113,38,0,38,75,8,8,8,0,48,23,9,0,32,16,61,16,9,0,25,36,1,1,0,0,1,0,60,15,9,0,24,36,2,0,2,2,0,0,0,0,0,0,2,0,2,2,0,2,0,2,2,0
2015,GA-508,DeKalb County CoC,Suburban CoCs,684,91,396,0,487,197,358,10,154,0,164,194,326,81,242,323,3,91,25,65,90,1,83,2,0,2,81,83,2,0,2,81,0,0,0,0,107,1,93,0,94,13,32,1,8,0,9,23,0,0,0,0,0,0,32,1,8,0,9,23,9,3,6,9,0,0,0,0,0,0,9,3,6,9,0,13,3,10,13,0
2015,GU-500,Guam CoC,Rural CoCs,1280,73,14,0,87,1193,306,9,14,0,23,283,974,64,0,64,910,180,14,0,14,166,153,0,0,0,153,27,0,0,0,27,126,0,0,126,23,0,1,0,1,22,7,1,0,0,1,6,1,1,0,0,1,0,6,0,0,0,0,6,12,0,0,0,12,0,0,0,0,0,12,0,0,0,12,10,0,0,0,10
2015,HI-500,Hawaii Balance of State CoC,Rural CoCs,2717,262,551,0,813,1904,1744,145,189,0,334,1410,973,117,362,479,494,242,34,94,128,114,666,20,0,20,646,593,18,0,18,575,73,2,2,71,225,14,21,0,35,190,147,13,13,0,26,121,3,0,0,0,0,3,144,13,13,0,26,118,23,2,8,10,13,0,0,0,0,0,23,2,8,10,13,29,3,13,16,13
2015,HI-501,Honolulu City and County CoC,Suburban CoCs,4903,995,1943,26,2964,1939,2563,396,487,26,909,1654,2340,599,1456,2055,285,556,145,340,485,71,868,140,20,160,708,779,115,20,135,644,89,25,25,64,467,74,164,2,240,227,156,26,24,0,50,106,21,8,0,0,8,13,135,18,24,0,42,93,72,26,34,60,12,1,0,0,0,1,71,26,34,60,11,64,24,31,55,9
2015,IA-500,"Sioux City/Dakota, Woodbury Counties CoC",Other Urban CoCs,276,89,176,0,265,11,113,66,36,0,102,11,163,23,140,163,0,49,5,44,49,0,26,25,0,25,1,26,25,0,25,1,0,0,0,0,14,9,4,0,13,1,30,17,13,0,30,0,0,0,0,0,0,0,30,17,13,0,30,0,10,1,9,10,0,0,0,0,0,0,10,1,9,10,0,18,3,15,18,0
2015,IA-501,Iowa Balance of State CoC,Rural CoCs,1975,737,1139,0,1876,99,821,447,279,0,726,95,1154,290,860,1150,4,355,97,257,354,1,135,126,0,126,9,69,60,0,60,9,66,66,66,0,81,30,34,0,64,17,97,63,32,0,95,2,4,3,1,0,4,0,93,60,31,0,91,2,94,24,70,94,0,4,0,4,4,0,90,24,66,90,0,98,20,78,98,0
2015,IA-502,Des Moines/Polk County CoC,Other Urban CoCs,830,399,338,0,737,93,567,295,179,0,474,93,263,104,159,263,0,92,34,58,92,0,114,70,0,70,44,106,62,0,62,44,8,8,8,0,112,41,57,0,98,14,52,24,27,0,51,1,3,1,2,0,3,0,49,23,25,0,48,1,20,6,14,20,0,0,0,0,0,0,20,6,14,20,0,23,6,17,23,0
2015,ID-500,Boise/Ada County CoC,Other Urban CoCs,755,451,223,0,674,81,611,349,185,0,534,77,144,102,38,140,4,46,33,11,44,2,94,67,0,67,27,82,59,0,59,23,12,8,8,4,126,38,74,0,112,14,54,45,6,0,51,3,3,3,0,0,3,0,51,42,6,0,48,3,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,3,3,0,3,0
2015,ID-501,Idaho Balance of State CoC,Rural CoCs,1211,339,484,0,823,388,561,159,139,0,298,263,650,180,345,525,125,205,57,112,169,36,151,45,0,45,106,82,25,0,25,57,69,20,20,49,123,14,48,0,62,61,75,25,15,0,40,35,1,0,0,0,0,1,74,25,15,0,40,34,20,7,10,17,3,0,0,0,0,0,20,7,10,17,3,28,11,15,26,2
2015,IL-500,McHenry County CoC,Suburban CoCs,177,83,85,0,168,9,116,70,43,0,113,3,61,13,42,55,6,20,3,15,18,2,6,4,0,4,2,6,4,0,4,2,0,0,0,0,25,3,22,0,25,0,4,2,2,0,4,0,0,0,0,0,0,0,4,2,2,0,4,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0
2015,IL-501,"Rockford/Winnebago, Boone Counties CoC",Suburban CoCs,327,146,152,0,298,29,197,79,89,0,168,29,130,67,63,130,0,47,22,25,47,0,31,22,0,22,9,27,18,0,18,9,4,4,4,0,20,5,14,0,19,1,25,9,14,0,23,2,10,0,10,0,10,0,15,9,4,0,13,2,20,4,16,20,0,0,0,0,0,0,20,4,16,20,0,28,6,22,28,0
2015,IL-502,"Waukegan, North Chicago/Lake County CoC",Suburban CoCs,386,215,166,0,381,5,197,159,33,0,192,5,189,56,133,189,0,62,18,44,62,0,46,45,0,45,1,46,45,0,45,1,0,0,0,0,58,58,0,0,58,0,17,14,2,0,16,1,0,0,0,0,0,0,17,14,2,0,16,1,15,9,6,15,0,0,0,0,0,0,15,9,6,15,0,24,19,5,24,0
2015,IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",Other Urban CoCs,163,10,143,0,153,10,125,10,105,0,115,10,38,0,38,38,0,12,0,12,12,0,5,0,0,0,5,5,0,0,0,5,0,0,0,0,18,0,16,0,16,2,26,8,18,0,26,0,5,5,0,0,5,0,21,3,18,0,21,0,4,0,4,4,0,0,0,0,0,0,4,0,4,4,0,5,0,5,5,0
2015,IL-504,Madison County CoC,Suburban CoCs,168,50,94,0,144,24,38,18,5,0,23,15,130,32,89,121,9,39,10,27,37,2,28,15,0,15,13,12,5,0,5,7,16,10,10,6,10,9,1,0,10,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,IL-506,"Joliet, Bolingbrook/Will County CoC",Suburban CoCs,340,190,124,0,314,26,207,121,63,0,184,23,133,69,61,130,3,39,20,18,38,1,49,35,0,35,14,40,26,0,26,14,9,9,9,0,23,9,14,0,23,0,16,11,0,0,11,5,0,0,0,0,0,0,16,11,0,0,11,5,5,5,0,5,0,0,0,0,0,0,5,5,0,5,0,9,9,0,9,0
2015,IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",Suburban CoCs,451,242,141,0,383,68,262,165,68,0,233,29,189,77,73,150,39,56,22,24,46,10,76,64,0,64,12,68,56,0,56,12,8,8,8,0,29,7,16,0,23,6,42,26,15,0,41,1,0,0,0,0,0,0,42,26,15,0,41,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2
2015,IL-508,"East St. Louis, Belleville/St. Clair County CoC",Suburban CoCs,318,47,119,0,166,152,176,14,38,0,52,124,142,33,81,114,28,44,8,27,35,9,101,17,0,17,84,94,10,0,10,84,7,7,7,0,38,1,22,0,23,15,9,3,2,0,5,4,0,0,0,0,0,0,9,3,2,0,5,4,16,1,13,14,2,0,0,0,0,0,16,1,13,14,2,27,6,19,25,2
2015,IL-509,Dekalb City & County CoC,Suburban CoCs,101,85,14,0,99,2,45,42,1,0,43,2,56,43,13,56,0,16,11,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,7,7,0,0,7,0,0,0,0,0,0,0,7,7,0,0,7,0,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,6,6,0,6,0
2015,IL-510,Chicago CoC,Major Cities,6786,1556,3136,39,4731,2055,4592,1394,1125,39,2558,2034,2194,162,2011,2173,21,684,51,626,677,7,1066,356,33,389,677,1050,340,33,373,677,16,16,16,0,752,49,297,0,346,406,446,153,170,2,325,121,8,2,3,0,5,3,438,151,167,2,320,118,199,11,188,199,0,0,0,0,0,0,199,11,188,199,0,301,19,282,301,0
2015,IL-511,Cook County CoC,Suburban CoCs,895,414,356,15,785,110,528,298,105,15,418,110,367,116,251,367,0,126,41,85,126,0,106,66,15,81,25,106,66,15,81,25,0,0,0,0,92,26,56,3,85,7,38,7,24,0,31,7,2,0,1,0,1,1,36,7,23,0,30,6,19,0,19,19,0,0,0,0,0,0,19,0,19,19,0,24,0,24,24,0
2015,IL-512,Bloomington/Central Illinois CoC,Rural CoCs,619,446,98,21,565,54,238,172,28,21,221,17,381,274,70,344,37,155,116,24,140,15,63,47,0,47,16,48,32,0,32,16,15,15,15,0,20,16,2,1,19,1,16,12,2,1,15,1,1,0,1,0,1,0,15,12,1,1,14,1,6,5,1,6,0,2,2,0,2,0,4,3,1,4,0,11,10,1,11,0
2015,IL-513,Springfield/Sangamon County CoC,Other Urban CoCs,326,182,129,0,311,15,227,136,76,0,212,15,99,46,53,99,0,31,12,19,31,0,30,23,0,23,7,30,23,0,23,7,0,0,0,0,28,6,18,0,24,4,22,14,8,0,22,0,2,2,0,0,2,0,20,12,8,0,20,0,3,1,2,3,0,0,0,0,0,0,3,1,2,3,0,4,1,3,4,0
2015,IL-514,DuPage County CoC,Suburban CoCs,672,204,438,0,642,30,290,138,122,0,260,30,382,66,316,382,0,131,20,111,131,0,54,50,0,50,4,54,50,0,50,4,0,0,0,0,21,11,9,0,20,1,52,11,40,0,51,1,8,7,1,0,8,0,44,4,39,0,43,1,29,7,22,29,0,0,0,0,0,0,29,7,22,29,0,38,16,22,38,0
2015,IL-515,South Central Illinois CoC,Rural CoCs,122,43,55,0,98,24,44,23,5,0,28,16,78,20,50,70,8,24,6,16,22,2,12,12,0,12,0,7,7,0,7,0,5,5,5,0,9,8,1,0,9,0,3,1,0,0,1,2,2,1,0,0,1,1,1,0,0,0,0,1,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,2,1,1,2,0
2015,IL-516,Decatur/Macon County CoC,Other Urban CoCs,238,107,92,0,199,39,170,93,41,0,134,36,68,14,51,65,3,23,5,17,22,1,70,48,0,48,22,67,48,0,48,19,3,0,0,3,10,6,0,0,6,4,4,2,2,0,4,0,0,0,0,0,0,0,4,2,2,0,4,0,6,2,4,6,0,0,0,0,0,0,6,2,4,6,0,10,2,8,10,0
2015,IL-517,"Aurora, Elgin/Kane County CoC",Suburban CoCs,388,304,70,0,374,14,267,237,16,0,253,14,121,67,54,121,0,41,24,17,41,0,87,78,0,78,9,84,75,0,75,9,3,3,3,0,22,21,0,0,21,1,17,15,2,0,17,0,0,0,0,0,0,0,17,15,2,0,17,0,7,3,4,7,0,0,0,0,0,0,7,3,4,7,0,7,3,4,7,0
2015,IL-518,"Rock Island, Moline/Northwestern Illinois CoC",Rural CoCs,254,119,109,10,238,16,180,119,38,10,167,13,74,0,71,71,3,27,0,26,26,1,31,8,10,18,13,29,8,10,18,11,2,0,0,2,20,11,5,0,16,4,33,12,17,0,29,4,0,0,0,0,0,0,33,12,17,0,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,IL-519,West Central Illinois CoC,Rural CoCs,100,55,43,0,98,2,61,32,27,0,59,2,39,23,16,39,0,12,6,6,12,0,8,8,0,8,0,8,8,0,8,0,0,0,0,0,3,3,0,0,3,0,27,5,21,0,26,1,0,0,0,0,0,0,27,5,21,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,IL-520,Southern Illinois CoC,Rural CoCs,346,186,130,0,316,30,192,100,66,0,166,26,154,86,64,150,4,59,38,20,58,1,43,38,0,38,5,18,13,0,13,5,25,25,25,0,27,9,13,0,22,5,27,18,7,0,25,2,0,0,0,0,0,0,27,18,7,0,25,2,16,10,3,13,3,0,0,0,0,0,16,10,3,13,3,23,12,7,19,4
2015,IN-502,Indiana Balance of State CoC,Rural CoCs,4197,2265,1435,25,3725,472,2685,1540,662,25,2227,458,1512,725,773,1498,14,500,238,259,497,3,488,359,10,369,119,424,303,10,313,111,64,56,56,8,401,155,170,25,350,51,274,185,59,0,244,30,28,27,1,0,28,0,246,158,58,0,216,30,73,34,39,73,0,3,0,3,3,0,70,34,36,70,0,102,53,49,102,0
2015,IN-503,Indianapolis CoC,Major Cities,1666,817,715,23,1555,111,1229,559,544,23,1126,103,437,258,171,429,8,136,87,47,134,2,215,155,5,160,55,184,132,5,137,47,31,23,23,8,389,28,345,3,376,13,99,53,36,0,89,10,8,3,5,0,8,0,91,50,31,0,81,10,30,19,10,29,1,0,0,0,0,0,30,19,10,29,1,47,29,16,45,2
2015,KS-502,Wichita/Sedgwick County CoC,Major Cities,561,354,96,12,462,99,411,285,15,12,312,99,150,69,81,150,0,49,24,25,49,0,94,50,5,55,39,92,48,5,53,39,2,2,2,0,59,41,0,0,41,18,35,15,10,0,25,10,0,0,0,0,0,0,35,15,10,0,25,10,11,2,9,11,0,0,0,0,0,0,11,2,9,11,0,14,3,11,14,0
2015,KS-503,Topeka/Shawnee County CoC,Other Urban CoCs,405,287,85,0,372,33,260,187,40,0,227,33,145,100,45,145,0,49,33,16,49,0,82,56,0,56,26,76,50,0,50,26,6,6,6,0,34,17,17,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,KS-505,"Overland Park, Shawnee/Johnson County CoC",Suburban CoCs,174,94,57,0,151,23,23,6,4,0,10,13,151,88,53,141,10,48,27,17,44,4,6,3,0,3,3,1,1,0,1,0,5,2,2,3,0,0,0,0,0,0,6,0,1,0,1,5,0,0,0,0,0,0,6,0,1,0,1,5,4,3,0,3,1,0,0,0,0,0,4,3,0,3,1,6,5,0,5,1
2015,KS-507,Kansas Balance of State CoC,Rural CoCs,1208,564,529,0,1093,115,642,333,203,0,536,106,566,231,326,557,9,167,70,93,163,4,152,108,0,108,44,129,87,0,87,42,23,21,21,2,178,35,131,0,166,12,33,26,6,0,32,1,1,1,0,0,1,0,32,25,6,0,31,1,13,4,9,13,0,0,0,0,0,0,13,4,9,13,0,11,4,7,11,0
2015,KY-500,Kentucky Balance of State CoC,Rural CoCs,2119,967,530,0,1497,622,1242,621,202,0,823,419,877,346,328,674,203,286,115,104,219,67,84,60,0,60,24,66,45,0,45,21,18,15,15,3,234,124,72,0,196,38,113,53,17,0,70,43,6,5,1,0,6,0,107,48,16,0,64,43,49,15,23,38,11,0,0,0,0,0,49,15,23,38,11,65,19,37,56,9
2015,KY-501,Louisville-Jefferson County CoC,Major Cities,1161,661,419,0,1080,81,854,506,277,0,783,71,307,155,142,297,10,110,55,53,108,2,145,131,0,131,14,118,107,0,107,11,27,24,24,3,190,50,129,0,179,11,65,42,14,0,56,9,14,14,0,0,14,0,51,28,14,0,42,9,20,7,13,20,0,0,0,0,0,0,20,7,13,20,0,27,11,16,27,0
2015,KY-502,Lexington-Fayette County CoC,Other Urban CoCs,1258,653,566,0,1219,39,1055,572,444,0,1016,39,203,81,122,203,0,71,32,39,71,0,228,222,0,222,6,199,193,0,193,6,29,29,29,0,167,85,81,0,166,1,70,31,37,0,68,2,7,7,0,0,7,0,63,24,37,0,61,2,6,2,4,6,0,0,0,0,0,0,6,2,4,6,0,7,2,5,7,0
2015,LA-500,Lafayette/Acadiana CoC,Rural CoCs,493,182,191,0,373,120,327,121,88,0,209,118,166,61,103,164,2,58,23,34,57,1,68,31,0,31,37,66,31,0,31,35,2,0,0,2,48,17,21,0,38,10,25,9,2,0,11,14,0,0,0,0,0,0,25,9,2,0,11,14,11,8,3,11,0,0,0,0,0,0,11,8,3,11,0,19,13,6,19,0
2015,LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",Other Urban CoCs,390,212,69,29,310,80,304,126,69,29,224,80,86,86,0,86,0,31,31,0,31,0,116,55,9,64,52,97,36,9,45,52,19,19,19,0,96,21,48,21,90,6,16,11,2,1,14,2,2,2,0,0,2,0,14,9,2,1,12,2,11,11,0,11,0,0,0,0,0,0,11,11,0,11,0,17,17,0,17,0
2015,LA-503,New Orleans/Jefferson Parish CoC,Major Cities,1703,457,447,10,914,789,1510,375,339,10,724,786,193,82,108,190,3,63,27,35,62,1,423,108,0,108,315,414,101,0,101,313,9,7,7,2,108,15,81,0,96,12,237,71,32,0,103,134,13,8,2,0,10,3,224,63,30,0,93,131,20,9,11,20,0,0,0,0,0,0,20,9,11,20,0,35,19,16,35,0
2015,LA-505,Monroe/Northeast Louisiana CoC,Rural CoCs,191,33,137,0,170,21,85,26,38,0,64,21,106,7,99,106,0,34,2,32,34,0,19,3,0,3,16,19,3,0,3,16,0,0,0,0,8,1,5,0,6,2,17,6,11,0,17,0,5,4,1,0,5,0,12,2,10,0,12,0,9,0,9,9,0,0,0,0,0,0,9,0,9,9,0,15,0,15,15,0
2015,LA-506,Slidell/Southeast Louisiana CoC,Suburban CoCs,243,70,123,0,193,50,143,50,58,0,108,35,100,20,65,85,15,28,6,18,24,4,36,28,0,28,8,32,24,0,24,8,4,4,4,0,40,5,34,0,39,1,6,4,0,0,4,2,0,0,0,0,0,0,6,4,0,0,4,2,4,1,3,4,0,0,0,0,0,0,4,1,3,4,0,11,2,9,11,0
2015,LA-507,Alexandria/Central Louisiana CoC,Rural CoCs,154,50,80,0,130,24,122,48,50,0,98,24,32,2,30,32,0,9,1,8,9,0,17,8,0,8,9,17,8,0,8,9,0,0,0,0,4,1,0,0,1,3,6,4,0,0,4,2,0,0,0,0,0,0,6,4,0,0,4,2,3,1,2,3,0,0,0,0,0,0,3,1,2,3,0,3,1,2,3,0
2015,LA-509,Louisiana Balance of State CoC,Suburban CoCs,907,302,498,0,800,107,726,183,443,0,626,100,181,119,55,174,7,62,40,19,59,3,94,45,0,45,49,90,43,0,43,47,4,2,2,2,88,16,64,0,80,8,82,24,56,0,80,2,10,10,0,0,10,0,72,14,56,0,70,2,3,1,2,3,0,0,0,0,0,0,3,1,2,3,0,5,2,3,5,0
2015,MA-500,Boston CoC,Major Cities,6492,5325,1006,22,6353,139,2539,1750,628,22,2400,139,3953,3575,378,3953,0,1377,1220,157,1377,0,957,900,22,922,35,635,578,22,600,35,322,322,322,0,383,93,265,16,374,9,120,82,25,0,107,13,1,1,0,0,1,0,119,81,25,0,106,13,54,36,18,54,0,0,0,0,0,0,54,36,18,54,0,54,36,18,54,0
2015,MA-502,Lynn CoC,Suburban CoCs,445,382,46,0,428,17,160,106,37,0,143,17,285,276,9,285,0,79,76,3,79,0,10,4,0,4,6,10,4,0,4,6,0,0,0,0,7,4,3,0,7,0,28,27,0,0,27,1,0,0,0,0,0,0,28,27,0,0,27,1,32,32,0,32,0,0,0,0,0,0,32,32,0,32,0,32,32,0,32,0
2015,MA-503,Cape Cod Islands CoC,Suburban CoCs,362,263,52,0,315,47,192,102,52,0,154,38,170,161,0,161,9,66,63,0,63,3,78,57,0,57,21,48,27,0,27,21,30,30,30,0,31,10,16,0,26,5,9,8,1,0,9,0,0,0,0,0,0,0,9,8,1,0,9,0,28,28,0,28,0,0,0,0,0,0,28,28,0,28,0,27,27,0,27,0
2015,MA-504,Springfield/Hampden County CoC,Suburban CoCs,3002,2798,188,6,2992,10,374,251,107,6,364,10,2628,2547,81,2628,0,787,756,31,787,0,293,283,6,289,4,69,59,6,65,4,224,224,224,0,38,21,17,0,38,0,45,31,13,0,44,1,1,1,0,0,1,0,44,30,13,0,43,1,243,235,8,243,0,0,0,0,0,0,243,235,8,243,0,292,282,10,292,0
2015,MA-505,New Bedford CoC,Suburban CoCs,437,162,225,0,387,50,241,30,161,0,191,50,196,132,64,196,0,73,41,32,73,0,43,10,0,10,33,37,4,0,4,33,6,6,6,0,42,1,37,0,38,4,22,3,14,0,17,5,1,0,0,0,0,1,21,3,14,0,17,4,7,4,3,7,0,0,0,0,0,0,7,4,3,7,0,11,6,5,11,0
2015,MA-506,Worcester City & County CoC,Suburban CoCs,1682,1216,378,12,1606,76,518,279,155,12,446,72,1164,937,223,1160,4,365,288,75,363,2,61,39,1,40,21,36,14,1,15,21,25,25,25,0,181,91,87,0,178,3,38,23,13,0,36,2,0,0,0,0,0,0,38,23,13,0,36,2,65,42,23,65,0,0,0,0,0,0,65,42,23,65,0,101,63,38,101,0
2015,MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",Suburban CoCs,781,495,267,0,762,19,414,157,238,0,395,19,367,338,29,367,0,122,109,13,122,0,107,95,0,95,12,78,66,0,66,12,29,29,29,0,220,30,190,0,220,0,25,12,12,0,24,1,0,0,0,0,0,0,25,12,12,0,24,1,35,31,4,35,0,0,0,0,0,0,35,31,4,35,0,33,29,4,33,0
2015,MA-508,Lowell CoC,Suburban CoCs,635,492,117,0,609,26,229,160,43,0,203,26,406,332,74,406,0,119,96,23,119,0,77,63,0,63,14,71,57,0,57,14,6,6,6,0,44,2,41,0,43,1,23,23,0,0,23,0,0,0,0,0,0,0,23,23,0,0,23,0,22,21,1,22,0,0,0,0,0,0,22,21,1,22,0,27,25,2,27,0
2015,MA-509,Cambridge CoC,Other Urban CoCs,464,271,161,0,432,32,338,206,100,0,306,32,126,65,61,126,0,50,26,24,50,0,97,67,0,67,30,97,67,0,67,30,0,0,0,0,17,10,4,0,14,3,14,6,6,0,12,2,0,0,0,0,0,0,14,6,6,0,12,2,13,10,3,13,0,0,0,0,0,0,13,10,3,13,0,16,13,3,16,0
2015,MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",Suburban CoCs,1577,1432,106,6,1544,33,237,163,39,6,208,29,1340,1269,67,1336,4,514,483,30,513,1,273,258,6,264,9,121,106,6,112,9,152,152,152,0,28,3,25,0,28,0,7,6,0,1,7,0,0,0,0,0,0,0,7,6,0,1,7,0,89,85,4,89,0,0,0,0,0,0,89,85,4,89,0,152,145,7,152,0
2015,MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",Suburban CoCs,1803,1729,46,0,1775,28,390,346,16,0,362,28,1413,1383,30,1413,0,484,472,12,484,0,256,233,0,233,23,115,92,0,92,23,141,141,141,0,64,46,17,0,63,1,21,20,0,0,20,1,0,0,0,0,0,0,21,20,0,0,20,1,91,84,7,91,0,0,0,0,0,0,91,84,7,91,0,113,96,17,113,0
