year,coc_name,coc_number,ahar_part_1_coc_category
2015,Gulf Port/Gulf Coast Regional,MS-503,"Smaller Cities, Counties, and Regional CoCs"
2016,Gulf Port/Gulf Coast Regional,MS-503,"Smaller Cities, Counties, and Regional CoCs"
2017,Gulf Port/Gulf Coast Regional,MS-503,"Smaller Cities, Counties, and Regional CoCs"
2016,Montana Statewide,MT-500,Balance of State and Statewide CoCs
2017,Montana Statewide,MT-500,Balance of State and Statewide CoCs
2015,Montana Statewide,MT-500,Balance of State and Statewide CoCs
2017,Winston-Salem/Forsyth County,NC-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Winston Salem/Forsyth County,NC-500,"Smaller Cities, Counties, and Regional CoCs"
2016,Winston-Salem/Forsyth County,NC-500,"Smaller Cities, Counties, and Regional CoCs"
2016,Asheville/Buncombe County,NC-501,"Smaller Cities, Counties, and Regional CoCs"
2017,Asheville/Buncombe County,NC-501,"Smaller Cities, Counties, and Regional CoCs"
2015,Asheville/Buncombe County,NC-501,"Smaller Cities, Counties, and Regional CoCs"
2015,Durham City & County,NC-502,"Smaller Cities, Counties, and Regional CoCs"
2016,Durham City & County,NC-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Durham City & County,NC-502,"Smaller Cities, Counties, and Regional CoCs"
2015,North Carolina Balance of State,NC-503,Balance of State and Statewide CoCs
2016,North Carolina Balance of State,NC-503,Balance of State and Statewide CoCs
2017,North Carolina Balance of State,NC-503,Balance of State and Statewide CoCs
2017,"Greensboro, High Point",NC-504,"Smaller Cities, Counties, and Regional CoCs"
2016,"Greensboro, High Point",NC-504,"Smaller Cities, Counties, and Regional CoCs"
2015,Greensboro/High Point,NC-504,"Smaller Cities, Counties, and Regional CoCs"
2017,Charlotte/Mecklenberg,NC-505,Major Cities
2015,Charlotte/Mecklenberg,NC-505,Major Cities
2016,Charlotte/Mecklenberg,NC-505,Major Cities
2016,"Wilmington/Brunswick, New Hanover, Pender Counties",NC-506,"Smaller Cities, Counties, and Regional CoCs"
2017,"Wilmington/Brunswick, New Hanover, Pender Counties",NC-506,"Smaller Cities, Counties, and Regional CoCs"
2015,"Wilmington/Brunswick, New Hanover, Pender Counties",NC-506,"Smaller Cities, Counties, and Regional CoCs"
2017,Raleigh/Wake County,NC-507,Major Cities
2015,Raleigh/Wake County,NC-507,Major Cities
2016,Raleigh/Wake County,NC-507,Major Cities
2017,"Gastonia/Cleveland, Gaston, Lincoln Counties",NC-509,"Smaller Cities, Counties, and Regional CoCs"
2016,"Gastonia/Cleveland, Gaston, Lincoln Counties",NC-509,"Smaller Cities, Counties, and Regional CoCs"
2015,"Gastonia/Cleveland, Gaston, Lincoln Counties",NC-509,"Smaller Cities, Counties, and Regional CoCs"
2017,Fayetteville/Cumberland County,NC-511,"Smaller Cities, Counties, and Regional CoCs"
2016,Fayetteville/Cumberland County,NC-511,"Smaller Cities, Counties, and Regional CoCs"
2015,Fayetteville/Cumberland County,NC-511,"Smaller Cities, Counties, and Regional CoCs"
2016,Chapel Hill/Orange County,NC-513,"Smaller Cities, Counties, and Regional CoCs"
2015,Chapel Hill/Orange County,NC-513,"Smaller Cities, Counties, and Regional CoCs"
2017,Chapel Hill/Orange County,NC-513,"Smaller Cities, Counties, and Regional CoCs"
2017,Northwest North Carolina,NC-516,"Smaller Cities, Counties, and Regional CoCs"
2015,Northwest North Carolina,NC-516,"Smaller Cities, Counties, and Regional CoCs"
2016,Northwest North Carolina,NC-516,"Smaller Cities, Counties, and Regional CoCs"
2015,North Dakota Statewide,ND-500,Balance of State and Statewide CoCs
2016,North Dakota Statewide,ND-500,Balance of State and Statewide CoCs
2017,North Dakota Statewide,ND-500,Balance of State and Statewide CoCs
2015,Nebraska Balance of State,NE-500,Balance of State and Statewide CoCs
2017,Nebraska Balance of State,NE-500,Balance of State and Statewide CoCs
2016,Nebraska Balance of State,NE-500,Balance of State and Statewide CoCs
2017,"Omaha, Council Bluffs",NE-501,Major Cities
2015,Omaha/Council Bluffs,NE-501,Major Cities
2016,"Omaha, Council Bluffs",NE-501,Major Cities
2017,Lincoln,NE-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Lincoln,NE-502,"Smaller Cities, Counties, and Regional CoCs"
2016,Lincoln,NE-502,"Smaller Cities, Counties, and Regional CoCs"
2015,New Hampshire Balance of State,NH-500,Balance of State and Statewide CoCs
2016,New Hampshire Balance of State,NH-500,Balance of State and Statewide CoCs
2017,New Hampshire Balance of State,NH-500,Balance of State and Statewide CoCs
2015,Manchester,NH-501,"Smaller Cities, Counties, and Regional CoCs"
2017,Manchester,NH-501,"Smaller Cities, Counties, and Regional CoCs"
2016,Manchester,NH-501,"Smaller Cities, Counties, and Regional CoCs"
2016,Nashua/Hillsborough County,NH-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Nashua/Hillsborough County,NH-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Nashua/Hillsborough County,NH-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Atlantic City & County,NJ-500,"Smaller Cities, Counties, and Regional CoCs"
2016,Atlantic City & County,NJ-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Atlantic City & County,NJ-500,"Smaller Cities, Counties, and Regional CoCs"
2016,Bergen County,NJ-501,"Smaller Cities, Counties, and Regional CoCs"
2017,Bergen County,NJ-501,"Smaller Cities, Counties, and Regional CoCs"
2015,Bergen County,NJ-501,"Smaller Cities, Counties, and Regional CoCs"
2016,Burlington County,NJ-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Burlington County,NJ-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Burlington County,NJ-502,"Smaller Cities, Counties, and Regional CoCs"
2015,"Camden City/Camden, Cumberland, Gloucester, Cape May Counties",NJ-503,"Smaller Cities, Counties, and Regional CoCs"
2016,"Camden City & County/Gloucester, Cape May, Cumberland Counties",NJ-503,"Smaller Cities, Counties, and Regional CoCs"
2017,"Camden City & County/Gloucester, Cape May, Cumberland Counties",NJ-503,"Smaller Cities, Counties, and Regional CoCs"
2015,Newark/Essex County,NJ-504,"Smaller Cities, Counties, and Regional CoCs"
2017,Newark/Essex County,NJ-504,"Smaller Cities, Counties, and Regional CoCs"
2016,Newark/Essex County,NJ-504,"Smaller Cities, Counties, and Regional CoCs"
2016,"Jersey City, Bayonne/Hudson County",NJ-506,"Smaller Cities, Counties, and Regional CoCs"
2017,"Jersey City, Bayonne/Hudson County",NJ-506,"Smaller Cities, Counties, and Regional CoCs"
2015,Jersey City/Bayonne/Hudson County,NJ-506,"Smaller Cities, Counties, and Regional CoCs"
2015,New Brunswick/Middlesex County,NJ-507,"Smaller Cities, Counties, and Regional CoCs"
2016,New Brunswick/Middlesex County,NJ-507,"Smaller Cities, Counties, and Regional CoCs"
2017,New Brunswick/Middlesex County,NJ-507,"Smaller Cities, Counties, and Regional CoCs"
2016,Monmouth County,NJ-508,"Smaller Cities, Counties, and Regional CoCs"
2015,Monmouth County,NJ-508,"Smaller Cities, Counties, and Regional CoCs"
2017,Monmouth County,NJ-508,"Smaller Cities, Counties, and Regional CoCs"
2016,Morris County,NJ-509,"Smaller Cities, Counties, and Regional CoCs"
2017,Morris County,NJ-509,"Smaller Cities, Counties, and Regional CoCs"
2015,Morris County,NJ-509,"Smaller Cities, Counties, and Regional CoCs"
2016,Lakewood Township/Ocean County,NJ-510,"Smaller Cities, Counties, and Regional CoCs"
2015,Lakewood Township/Ocean County,NJ-510,"Smaller Cities, Counties, and Regional CoCs"
2017,Lakewood Township/Ocean County,NJ-510,"Smaller Cities, Counties, and Regional CoCs"
2017,Paterson/Passaic County,NJ-511,"Smaller Cities, Counties, and Regional CoCs"
2015,Paterson/Passaic County,NJ-511,"Smaller Cities, Counties, and Regional CoCs"
2016,Paterson/Passaic County,NJ-511,"Smaller Cities, Counties, and Regional CoCs"
2017,Salem County,NJ-512,"Smaller Cities, Counties, and Regional CoCs"
2015,Salem County,NJ-512,"Smaller Cities, Counties, and Regional CoCs"
2016,Salem County,NJ-512,"Smaller Cities, Counties, and Regional CoCs"
2017,Somerset County,NJ-513,"Smaller Cities, Counties, and Regional CoCs"
2016,Somerset County,NJ-513,"Smaller Cities, Counties, and Regional CoCs"
2015,Somerset County,NJ-513,"Smaller Cities, Counties, and Regional CoCs"
2017,Trenton/Mercer County,NJ-514,"Smaller Cities, Counties, and Regional CoCs"
2015,Trenton/Mercer County,NJ-514,"Smaller Cities, Counties, and Regional CoCs"
2016,Trenton/Mercer County,NJ-514,"Smaller Cities, Counties, and Regional CoCs"
2015,Elizabeth/Union County,NJ-515,"Smaller Cities, Counties, and Regional CoCs"
2016,Elizabeth/Union County,NJ-515,"Smaller Cities, Counties, and Regional CoCs"
2017,Elizabeth/Union County,NJ-515,"Smaller Cities, Counties, and Regional CoCs"
2017,"Warren, Sussex, Hunterdon Counties",NJ-516,"Smaller Cities, Counties, and Regional CoCs"
2016,"Warren, Sussex, Hunterdon Counties",NJ-516,"Smaller Cities, Counties, and Regional CoCs"
2015,"Warren, Sussex, Hunterdon Counties",NJ-516,"Smaller Cities, Counties, and Regional CoCs"
2015,Albuquerque,NM-500,Major Cities
2017,Albuquerque,NM-500,Major Cities
2016,Albuquerque,NM-500,Major Cities
2016,New Mexico Balance of State,NM-501,Balance of State and Statewide CoCs
2017,New Mexico Balance of State,NM-501,Balance of State and Statewide CoCs
2015,New Mexico Balance of State,NM-501,Balance of State and Statewide CoCs
2017,Las Vegas/Clark County,NV-500,Major Cities
2015,Las Vegas/Clark County,NV-500,Major Cities
2016,Las Vegas/Clark County,NV-500,Major Cities
2015,Reno/Sparks/Washoe County,NV-501,"Smaller Cities, Counties, and Regional CoCs"
2016,"Reno, Sparks/Washoe County",NV-501,"Smaller Cities, Counties, and Regional CoCs"
2017,"Reno, Sparks/Washoe County",NV-501,"Smaller Cities, Counties, and Regional CoCs"
2017,Nevada Balance of State,NV-502,Balance of State and Statewide CoCs
2015,Nevada Balance of State,NV-502,Balance of State and Statewide CoCs
2016,Nevada Balance of State,NV-502,Balance of State and Statewide CoCs
2015,Rochester/Irondequoit/Greece/Monroe County,NY-500,"Smaller Cities, Counties, and Regional CoCs"
2016,"Rochester, Irondequoit, Greece/Monroe County",NY-500,"Smaller Cities, Counties, and Regional CoCs"
2017,"Rochester, Irondequoit, Greece/Monroe County",NY-500,"Smaller Cities, Counties, and Regional CoCs"
2017,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties",NY-501,"Smaller Cities, Counties, and Regional CoCs"
2015,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties",NY-501,"Smaller Cities, Counties, and Regional CoCs"
2016,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties",NY-501,"Smaller Cities, Counties, and Regional CoCs"
2015,Auburn/Cayuga County,NY-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Albany City & County,NY-503,"Smaller Cities, Counties, and Regional CoCs"
2016,Albany City & County,NY-503,"Smaller Cities, Counties, and Regional CoCs"
2017,Albany City & County,NY-503,"Smaller Cities, Counties, and Regional CoCs"
2015,Cattaragus County,NY-504,"Smaller Cities, Counties, and Regional CoCs"
2017,Cattaragus County,NY-504,"Smaller Cities, Counties, and Regional CoCs"
2016,Cattaragus County,NY-504,"Smaller Cities, Counties, and Regional CoCs"
2015,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties",NY-505,"Smaller Cities, Counties, and Regional CoCs"
2016,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties",NY-505,"Smaller Cities, Counties, and Regional CoCs"
2017,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties",NY-505,"Smaller Cities, Counties, and Regional CoCs"
2015,Schenectady City & County,NY-507,"Smaller Cities, Counties, and Regional CoCs"
2016,Schenectady City & County,NY-507,"Smaller Cities, Counties, and Regional CoCs"
2017,Schenectady City & County,NY-507,"Smaller Cities, Counties, and Regional CoCs"
2015,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties",NY-508,"Smaller Cities, Counties, and Regional CoCs"
2016,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties",NY-508,"Smaller Cities, Counties, and Regional CoCs"
2017,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties",NY-508,"Smaller Cities, Counties, and Regional CoCs"
2017,Ithaca/Tompkins County,NY-510,"Smaller Cities, Counties, and Regional CoCs"
2015,Ithaca/Tompkins County,NY-510,"Smaller Cities, Counties, and Regional CoCs"
2016,Ithaca/Tompkins County,NY-510,"Smaller Cities, Counties, and Regional CoCs"
2017,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties",NY-511,"Smaller Cities, Counties, and Regional CoCs"
2016,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties",NY-511,"Smaller Cities, Counties, and Regional CoCs"
2015,"Binghamton, Union/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties",NY-511,"Smaller Cities, Counties, and Regional CoCs"
2015,Troy/Rensselaer County,NY-512,"Smaller Cities, Counties, and Regional CoCs"
2017,Troy/Rensselaer County,NY-512,"Smaller Cities, Counties, and Regional CoCs"
2016,Troy/Rensselaer County,NY-512,"Smaller Cities, Counties, and Regional CoCs"
2017,"Wayne, Ontario, Seneca, Yates Counties",NY-513,"Smaller Cities, Counties, and Regional CoCs"
2015,"Wayne, Ontario, Seneca, Yates Counties",NY-513,"Smaller Cities, Counties, and Regional CoCs"
2016,"Wayne, Ontario, Seneca, Yates Counties",NY-513,"Smaller Cities, Counties, and Regional CoCs"
2017,"Jamestown, Dunkirk/Chautauqua County",NY-514,"Smaller Cities, Counties, and Regional CoCs"
2015,Jamestown/Dunkirk/Chautauqua County,NY-514,"Smaller Cities, Counties, and Regional CoCs"
2016,"Jamestown, Dunkirk/Chautauqua County",NY-514,"Smaller Cities, Counties, and Regional CoCs"
2017,Clinton County,NY-516,"Smaller Cities, Counties, and Regional CoCs"
2016,Clinton County,NY-516,"Smaller Cities, Counties, and Regional CoCs"
2015,Clinton County,NY-516,"Smaller Cities, Counties, and Regional CoCs"
2017,"Utica, Rome/Oneida, Madison Counties",NY-518,"Smaller Cities, Counties, and Regional CoCs"
2015,"Utica/Rome/Oneida, Madison Counties",NY-518,"Smaller Cities, Counties, and Regional CoCs"
2016,"Utica, Rome/Oneida, Madison Counties",NY-518,"Smaller Cities, Counties, and Regional CoCs"
2017,"Columbia, Greene Counties",NY-519,"Smaller Cities, Counties, and Regional CoCs"
2015,Columbia/Greene County,NY-519,"Smaller Cities, Counties, and Regional CoCs"
2016,"Columbia, Greene Counties",NY-519,"Smaller Cities, Counties, and Regional CoCs"
2015,Franklin County,NY-520,"Smaller Cities, Counties, and Regional CoCs"
2016,"Franklin, Essex Counties",NY-520,"Smaller Cities, Counties, and Regional CoCs"
2017,"Franklin, Essex Counties",NY-520,"Smaller Cities, Counties, and Regional CoCs"
2016,"Jefferson, Lewis, St. Lawrence Counties",NY-522,"Smaller Cities, Counties, and Regional CoCs"
2015,Jefferson/Lewis/St. Lawrence Counties,NY-522,"Smaller Cities, Counties, and Regional CoCs"
2017,"Jefferson, Lewis, St. Lawrence Counties",NY-522,"Smaller Cities, Counties, and Regional CoCs"
2017,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties",NY-523,"Smaller Cities, Counties, and Regional CoCs"
2016,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties",NY-523,"Smaller Cities, Counties, and Regional CoCs"
2015,"Glens Falls/Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties",NY-523,"Smaller Cities, Counties, and Regional CoCs"
2016,New York City,NY-600,Major Cities
2017,New York City,NY-600,Major Cities
2015,New York City,NY-600,Major Cities
2015,Poughkeepsie/Dutchess County,NY-601,"Smaller Cities, Counties, and Regional CoCs"
2017,Poughkeepsie/Dutchess County,NY-601,"Smaller Cities, Counties, and Regional CoCs"
2016,Poughkeepsie/Dutchess County,NY-601,"Smaller Cities, Counties, and Regional CoCs"
2017,"Newburgh, Middletown/Orange County",NY-602,"Smaller Cities, Counties, and Regional CoCs"
2015,Newburgh/Middletown/Orange County,NY-602,"Smaller Cities, Counties, and Regional CoCs"
2016,"Newburgh, Middletown/Orange County",NY-602,"Smaller Cities, Counties, and Regional CoCs"
2016,"Nassau, Suffolk Counties",NY-603,"Smaller Cities, Counties, and Regional CoCs"
2017,"Nassau, Suffolk Counties",NY-603,"Smaller Cities, Counties, and Regional CoCs"
2015,"Nassau, Suffolk Counties/Babylon/Islip/ Huntington",NY-603,"Smaller Cities, Counties, and Regional CoCs"
2017,"Yonkers, Mount Vernon/Westchester County",NY-604,"Smaller Cities, Counties, and Regional CoCs"
2016,"Yonkers, Mount Vernon/Westchester County",NY-604,"Smaller Cities, Counties, and Regional CoCs"
2015,Yonkers/Mount Vernon/New Rochelle/Westchester,NY-604,"Smaller Cities, Counties, and Regional CoCs"
2017,Rockland County,NY-606,"Smaller Cities, Counties, and Regional CoCs"
2016,Rockland County,NY-606,"Smaller Cities, Counties, and Regional CoCs"
2015,Rockland County,NY-606,"Smaller Cities, Counties, and Regional CoCs"
2015,Sullivan County,NY-607,"Smaller Cities, Counties, and Regional CoCs"
2017,Sullivan County,NY-607,"Smaller Cities, Counties, and Regional CoCs"
2016,Sullivan County,NY-607,"Smaller Cities, Counties, and Regional CoCs"
2017,Kingston/Ulster County,NY-608,"Smaller Cities, Counties, and Regional CoCs"
2015,Kingston/Ulster County,NY-608,"Smaller Cities, Counties, and Regional CoCs"
2016,Kingston/Ulster County,NY-608,"Smaller Cities, Counties, and Regional CoCs"
2016,Cincinnati/Hamilton County,OH-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Cincinnati/Hamilton County,OH-500,"Smaller Cities, Counties, and Regional CoCs"
2017,Cincinnati/Hamilton County,OH-500,"Smaller Cities, Counties, and Regional CoCs"
2016,Toledo/Lucas County,OH-501,"Smaller Cities, Counties, and Regional CoCs"
2017,Toledo/Lucas County,OH-501,"Smaller Cities, Counties, and Regional CoCs"
2015,Toledo/Lucas County,OH-501,"Smaller Cities, Counties, and Regional CoCs"
2016,Cleveland/Cuyahoga County,OH-502,"Smaller Cities, Counties, and Regional CoCs"
2017,Cleveland/Cuyahoga County,OH-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Cleveland/Cuyahoga County,OH-502,Major Cities
2017,Columbus/Franklin County,OH-503,Major Cities
2015,Columbus/Franklin County,OH-503,Major Cities
2016,Columbus/Franklin County,OH-503,Major Cities
2015,Youngstown/Mahoning County,OH-504,"Smaller Cities, Counties, and Regional CoCs"
2017,Youngstown/Mahoning County,OH-504,"Smaller Cities, Counties, and Regional CoCs"
2016,Youngstown/Mahoning County,OH-504,"Smaller Cities, Counties, and Regional CoCs"
2016,"Dayton, Kettering/Montgomery County",OH-505,"Smaller Cities, Counties, and Regional CoCs"
2017,"Dayton, Kettering/Montgomery County",OH-505,"Smaller Cities, Counties, and Regional CoCs"
2015,Dayton/Kettering/Montgomery County,OH-505,"Smaller Cities, Counties, and Regional CoCs"
2015,Akron/Barberton/Summit County,OH-506,"Smaller Cities, Counties, and Regional CoCs"
2016,"Akron, Barberton/Summit County",OH-506,"Smaller Cities, Counties, and Regional CoCs"
2017,"Akron, Barberton/Summit County",OH-506,"Smaller Cities, Counties, and Regional CoCs"
2017,Ohio Balance of State,OH-507,Balance of State and Statewide CoCs
2016,Ohio Balance of State,OH-507,Balance of State and Statewide CoCs
2015,Ohio Balance of State,OH-507,Balance of State and Statewide CoCs
2017,"Canton, Massillon, Alliance/Stark County",OH-508,"Smaller Cities, Counties, and Regional CoCs"
2016,"Canton, Massillon, Alliance/Stark County",OH-508,"Smaller Cities, Counties, and Regional CoCs"
2015,Canton/Massillon/Alliance/Stark County,OH-508,"Smaller Cities, Counties, and Regional CoCs"
2015,North Central Oklahoma,OK-500,"Smaller Cities, Counties, and Regional CoCs"
2016,North Central Oklahoma,OK-500,"Smaller Cities, Counties, and Regional CoCs"
2017,North Central Oklahoma,OK-500,"Smaller Cities, Counties, and Regional CoCs"
2016,Tulsa City & County,OK-501,Major Cities
2015,Tulsa City & County/Broken Arrow,OK-501,Major Cities
2017,Tulsa City & County,OK-501,Major Cities
2017,Oklahoma City,OK-502,Major Cities
2016,Oklahoma City,OK-502,Major Cities
2015,Oklahoma City,OK-502,Major Cities
2016,Oklahoma Balance of State,OK-503,Balance of State and Statewide CoCs
2017,Oklahoma Balance of State,OK-503,Balance of State and Statewide CoCs
2015,Oklahoma Balance of State,OK-503,Balance of State and Statewide CoCs
2015,Norman/Cleveland County,OK-504,"Smaller Cities, Counties, and Regional CoCs"
2017,Norman/Cleveland County,OK-504,"Smaller Cities, Counties, and Regional CoCs"
2016,Norman/Cleveland County,OK-504,"Smaller Cities, Counties, and Regional CoCs"
2015,Northeast Oklahoma,OK-505,"Smaller Cities, Counties, and Regional CoCs"
2016,Northeast Oklahoma,OK-505,"Smaller Cities, Counties, and Regional CoCs"
2017,Northeast Oklahoma,OK-505,"Smaller Cities, Counties, and Regional CoCs"
2015,Southwest Oklahoma Regional,OK-506,"Smaller Cities, Counties, and Regional CoCs"
2016,Southwest Oklahoma Regional,OK-506,"Smaller Cities, Counties, and Regional CoCs"
2017,Southwest Oklahoma Regional,OK-506,"Smaller Cities, Counties, and Regional CoCs"
2016,Southeastern Oklahoma Regional,OK-507,"Smaller Cities, Counties, and Regional CoCs"
2017,Southeastern Oklahoma Regional,OK-507,"Smaller Cities, Counties, and Regional CoCs"
2015,Southeastern Oklahoma Regional,OK-507,"Smaller Cities, Counties, and Regional CoCs"
2017,"Eugene, Springfield/Lane County",OR-500,"Smaller Cities, Counties, and Regional CoCs"
2016,"Eugene, Springfield/Lane County",OR-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Eugene/Springfield/Lane County,OR-500,"Smaller Cities, Counties, and Regional CoCs"
2015,Portland-Gresham-Multnomah County,OR-501,Major Cities
2016,"Portland, Gresham/Multnomah County",OR-501,Major Cities
2017,"Portland, Gresham/Multnomah County",OR-501,Major Cities
2017,"Medford, Ashland/Jackson County",OR-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Medford/Ashland/Jackson County,OR-502,"Smaller Cities, Counties, and Regional CoCs"
2016,"Medford, Ashland/Jackson County",OR-502,"Smaller Cities, Counties, and Regional CoCs"
2016,Central Oregon,OR-503,"Smaller Cities, Counties, and Regional CoCs"
2015,Central Oregon,OR-503,"Smaller Cities, Counties, and Regional CoCs"
2017,Central Oregon,OR-503,"Smaller Cities, Counties, and Regional CoCs"
2015,Oregon Balance of State,OR-505,Balance of State and Statewide CoCs
2017,Oregon Balance of State,OR-505,Balance of State and Statewide CoCs
2016,Oregon Balance of State,OR-505,Balance of State and Statewide CoCs
2015,Hillsboro/Beaverton/Washington County,OR-506,"Smaller Cities, Counties, and Regional CoCs"
2017,"Hillsboro, Beaverton/Washington County",OR-506,"Smaller Cities, Counties, and Regional CoCs"
2016,"Hillsboro, Beaverton/Washington County",OR-506,"Smaller Cities, Counties, and Regional CoCs"
2015,Clackamas County,OR-507,"Smaller Cities, Counties, and Regional CoCs"
2017,Clackamas County,OR-507,"Smaller Cities, Counties, and Regional CoCs"
2016,Clackamas County,OR-507,"Smaller Cities, Counties, and Regional CoCs"
2016,Philadelphia,PA-500,Major Cities
2015,Philadelphia,PA-500,Major Cities
2017,Philadelphia,PA-500,Major Cities
2015,Harrisburg/Dauphin County,PA-501,"Smaller Cities, Counties, and Regional CoCs"
2016,Harrisburg/Dauphin County,PA-501,"Smaller Cities, Counties, and Regional CoCs"
2017,Harrisburg/Dauphin County,PA-501,"Smaller Cities, Counties, and Regional CoCs"
2017,"Upper Darby, Chester, Haverford/Delaware County",PA-502,"Smaller Cities, Counties, and Regional CoCs"
2016,"Upper Darby, Chester, Haverford/Delaware County",PA-502,"Smaller Cities, Counties, and Regional CoCs"
2015,Upper Darby/Chester/Haverford/Delaware County,PA-502,"Smaller Cities, Counties, and Regional CoCs"
2016,"Wilkes-Barre, Hazleton/Luzerne County",PA-503,"Smaller Cities, Counties, and Regional CoCs"
2017,"Wilkes-Barre, Hazleton/Luzerne County",PA-503,"Smaller Cities, Counties, and Regional CoCs"
2015,Wilkes-Barre/Hazleton/Luzerne County,PA-503,"Smaller Cities, Counties, and Regional CoCs"
2015,Lower Marion/Norristown/Abington/Montgomery County,PA-504,"Smaller Cities, Counties, and Regional CoCs"
2016,"Lower Merion, Norristown, Abington/Montgomery County",PA-504,"Smaller Cities, Counties, and Regional CoCs"
2017,"Lower Merion, Norristown, Abington/Montgomery County",PA-504,"Smaller Cities, Counties, and Regional CoCs"
2015,Chester County,PA-505,"Smaller Cities, Counties, and Regional CoCs"
2016,Chester County,PA-505,"Smaller Cities, Counties, and Regional CoCs"
2017,Chester County,PA-505,"Smaller Cities, Counties, and Regional CoCs"
2016,Reading/Berks County,PA-506,"Smaller Cities, Counties, and Regional CoCs"
2017,Reading/Berks County,PA-506,"Smaller Cities, Counties, and Regional CoCs"
2015,Reading/Berks County,PA-506,"Smaller Cities, Counties, and Regional CoCs"
2016,Scranton/Lackawanna County,PA-508,"Smaller Cities, Counties, and Regional CoCs"
2017,Scranton/Lackawanna County,PA-508,"Smaller Cities, Counties, and Regional CoCs"
2015,Scranton/Lackawanna County,PA-508,"Smaller Cities, Counties, and Regional CoCs"
2015,Eastern Pennsylvania,PA-509,"Smaller Cities, Counties, and Regional CoCs"
2017,Eastern Pennsylvania,PA-509,"Smaller Cities, Counties, and Regional CoCs"
2016,Eastern Pennsylvania,PA-509,"Smaller Cities, Counties, and Regional CoCs"
2017,Lancaster City & County,PA-510,"Smaller Cities, Counties, and Regional CoCs"
2016,Lancaster City & County,PA-510,"Smaller Cities, Counties, and Regional CoCs"
2015,Lancaster City & County,PA-510,"Smaller Cities, Counties, and Regional CoCs"
2016,"Bristol, Bensalem/Bucks County",PA-511,"Smaller Cities, Counties, and Regional CoCs"
2017,"Bristol, Bensalem/Bucks County",PA-511,"Smaller Cities, Counties, and Regional CoCs"
2015,Bristol/Bensalem/Bucks County,PA-511,"Smaller Cities, Counties, and Regional CoCs"
2017,York City & County,PA-512,"Smaller Cities, Counties, and Regional CoCs"
2016,York City & County,PA-512,"Smaller Cities, Counties, and Regional CoCs"
2015,York City & County,PA-512,"Smaller Cities, Counties, and Regional CoCs"
2015,Pittsburgh/McKeesport/Penn Hills/Allegheny County,PA-600,"Smaller Cities, Counties, and Regional CoCs"
2017,"Pittsburgh, McKeesport, Penn Hills/Allegheny County",PA-600,"Smaller Cities, Counties, and Regional CoCs"
2016,"Pittsburgh, McKeesport, Penn Hills/Allegheny County",PA-600,"Smaller Cities, Counties, and Regional CoCs"
2017,Western Pennsylvania,PA-601,"Smaller Cities, Counties, and Regional CoCs"
2015,Western Pennsylvania,PA-601,"Smaller Cities, Counties, and Regional CoCs"
2016,Western Pennsylvania,PA-601,"Smaller Cities, Counties, and Regional CoCs"
2016,Beaver County,PA-603,"Smaller Cities, Counties, and Regional CoCs"
2015,Beaver County,PA-603,"Smaller Cities, Counties, and Regional CoCs"
2017,Beaver County,PA-603,"Smaller Cities, Counties, and Regional CoCs"
2016,Erie City & County,PA-605,"Smaller Cities, Counties, and Regional CoCs"
2017,Erie City & County,PA-605,"Smaller Cities, Counties, and Regional CoCs"
2015,Erie City & County,PA-605,"Smaller Cities, Counties, and Regional CoCs"
2016,Puerto Rico Balance of Commonwealth,PR-502,Balance of State and Statewide CoCs
2017,Puerto Rico Balance of Commonwealth,PR-502,Balance of State and Statewide CoCs
